geo_code,nigeria_born,total_occ,prof_occ,caring_occ,year,brain_waste_ratio
W06000019,21.0,25133.0,61.0,1592.0,2001,0.9630973986690865
W06000013,14.0,52865.0,386.0,3218.0,2001,0.892896781354051
W06000018,16.0,67295.0,223.0,3213.0,2001,0.9350989522700814
W06000015,232.0,130270.0,2697.0,5394.0,2001,0.6666666666666666
W06000010,34.0,67558.0,693.0,4354.0,2001,0.8626907073509015
W06000008,21.0,29653.0,256.0,1541.0,2001,0.857540345019477
W06000003,11.0,43731.0,432.0,3186.0,2001,0.8805970149253731
W06000004,14.0,38277.0,391.0,2858.0,2001,0.8796552785472453
W06000005,9.0,69452.0,356.0,3193.0,2001,0.8996900535362073
W06000002,15.0,46911.0,431.0,3105.0,2001,0.8781108597285068
W06000001,4.0,26167.0,263.0,1669.0,2001,0.8638716356107661
W06000024,8.0,19887.0,117.0,1063.0,2001,0.9008474576271186
W06000021,10.0,38313.0,552.0,1794.0,2001,0.7647058823529411
W06000012,8.0,50051.0,292.0,3060.0,2001,0.9128878281622912
W06000022,23.0,56325.0,458.0,2736.0,2001,0.8566061365059486
W06000009,7.0,44897.0,411.0,2825.0,2001,0.872991347342398
W06000023,8.0,56925.0,428.0,3313.0,2001,0.8855920876770916
W06000016,27.0,88385.0,393.0,4988.0,2001,0.9269652480951496
W06000011,62.0,88111.0,1115.0,4580.0,2001,0.8042142230026339
W06000020,4.0,36852.0,131.0,2002.0,2001,0.9385841537740272
W06000014,19.0,52118.0,693.0,2571.0,2001,0.7876838235294118
W06000006,21.0,57080.0,473.0,3229.0,2001,0.8722312263641275
E08000025,753.0,367141.0,4589.0,19266.0,2001,0.8076294277929156
E07000234,18.0,43351.0,630.0,2176.0,2001,0.7754811119030649
E07000192,5.0,44000.0,94.0,2214.0,2001,0.9592720970537262
E08000026,200.0,125724.0,666.0,6519.0,2001,0.9073068893528183
E08000027,50.0,139935.0,597.0,6587.0,2001,0.9168986636971047
E07000193,23.0,48417.0,355.0,2364.0,2001,0.8694372931224715
E06000019,29.0,81289.0,720.0,4686.0,2001,0.8668146503884573
E07000194,12.0,46163.0,398.0,2012.0,2001,0.8348547717842324
E07000235,35.0,33414.0,302.0,1761.0,2001,0.8536112457586039
E07000195,23.0,54987.0,448.0,2962.0,2001,0.8686217008797654
E07000218,6.0,30533.0,157.0,1383.0,2001,0.8980519480519481
E07000219,12.0,56613.0,255.0,3006.0,2001,0.921803127874885
E07000236,16.0,40258.0,157.0,1849.0,2001,0.9217347956131605
E07000220,16.0,43284.0,309.0,2027.0,2001,0.867722602739726
E08000028,106.0,113562.0,367.0,5621.0,2001,0.9387107548430194
E06000051,60.0,135436.0,1261.0,7537.0,2001,0.8566719709024778
E08000029,86.0,93400.0,1001.0,3743.0,2001,0.7889966273187183
E07000196,9.0,52427.0,316.0,2152.0,2001,0.8719611021069692
E07000197,26.0,58761.0,578.0,2774.0,2001,0.8275656324582339
E07000198,5.0,45596.0,218.0,2555.0,2001,0.9213847818247386
E06000021,31.0,98817.0,355.0,5788.0,2001,0.9422106462640404
E07000221,21.0,56543.0,478.0,2319.0,2001,0.8291026099392206
E07000199,12.0,37012.0,81.0,1459.0,2001,0.9474025974025974
E06000020,20.0,74380.0,335.0,3399.0,2001,0.9102838778789502
E08000030,30.0,105590.0,554.0,5335.0,2001,0.9059263032772966
E07000222,52.0,62658.0,729.0,2640.0,2001,0.7836153161175423
E08000031,72.0,94926.0,629.0,4658.0,2001,0.8810289389067524
E07000237,16.0,47003.0,303.0,2223.0,2001,0.8800475059382423
E07000238,16.0,56186.0,423.0,2537.0,2001,0.8570945945945946
E07000239,18.0,47161.0,232.0,2613.0,2001,0.9184534270650263
E08000016,4.0,88762.0,421.0,5319.0,2001,0.9266550522648084
E08000032,165.0,191250.0,1410.0,10709.0,2001,0.8836537668124432
E08000033,28.0,88038.0,683.0,4968.0,2001,0.8791364360290214
E07000163,10.0,25721.0,238.0,1362.0,2001,0.85125
E08000017,44.0,118362.0,657.0,7378.0,2001,0.918232731798382
E06000011,41.0,144858.0,1518.0,7722.0,2001,0.8357142857142857
E07000164,8.0,41890.0,597.0,2070.0,2001,0.7761529808773904
E07000165,34.0,75755.0,899.0,3720.0,2001,0.8053691275167785
E06000010,107.0,95957.0,438.0,5497.0,2001,0.9262005054759899
E08000034,99.0,174023.0,1308.0,9053.0,2001,0.8737573593282502
E08000035,365.0,322831.0,3761.0,17169.0,2001,0.8203057811753464
E06000012,31.0,65832.0,435.0,3566.0,2001,0.8912771807048238
E06000013,26.0,68083.0,449.0,3576.0,2001,0.8884472049689441
E07000166,7.0,24124.0,184.0,1136.0,2001,0.8606060606060606
E08000018,37.0,106489.0,538.0,6318.0,2001,0.9215285880980163
E07000167,16.0,24184.0,199.0,1242.0,2001,0.8619014573213046
E07000168,8.0,44976.0,374.0,2637.0,2001,0.8757887744935238
E07000169,5.0,37885.0,234.0,1811.0,2001,0.8855745721271394
E08000019,290.0,218493.0,3130.0,11897.0,2001,0.7917082584680908
E08000036,43.0,138021.0,878.0,7507.0,2001,0.8952892069171139
E06000014,33.0,87305.0,795.0,4284.0,2001,0.8434731246308328
Cells in this dataset have been randomly adjusted to avoid the release,,,,,2001,
of confidential data.,,,,,2001,
,,,,,2001,
E07000032,,59625.0,8802.0,5346.0,2011,0.37786259541984735
E07000170,,55484.0,5901.0,5737.0,2011,0.49295411582746174
E07000171,,53092.0,6803.0,5671.0,2011,0.45462562129228795
E07000129,,48510.0,7723.0,4246.0,2011,0.3547497702397861
E07000033,,34676.0,3768.0,3836.0,2011,0.5044713308784851
E07000136,,30978.0,3087.0,2992.0,2011,0.49218621483796676
E07000172,,53367.0,10932.0,4217.0,2011,0.27836820912271437
E07000130,,79998.0,14324.0,7311.0,2011,0.33792465911717123
E07000034,,48095.0,6975.0,5357.0,2011,0.43439831333117096
E07000150,,30779.0,2773.0,2534.0,2011,0.4774825701903147
E07000151,,39789.0,6635.0,3239.0,2011,0.3280332185537776
E06000015,,112844.0,18461.0,11271.0,2011,0.37908650612135075
E07000035,,35354.0,6747.0,2864.0,2011,0.29799188429924045
E07000137,,56911.0,6575.0,6615.0,2011,0.5015163002274451
E07000152,,43651.0,6547.0,4083.0,2011,0.384101599247413
E07000036,,55112.0,7507.0,4915.0,2011,0.3956689744002576
E07000173,,55929.0,9345.0,5188.0,2011,0.35698066469414436
E07000131,,44413.0,8486.0,3471.0,2011,0.29029020657355525
E07000037,,45862.0,8157.0,4599.0,2011,0.3605362182502352
E07000132,,54065.0,8330.0,4809.0,2011,0.366009589770911
E07000153,,47164.0,7122.0,4601.0,2011,0.3924763285848332
E06000016,,137987.0,19677.0,13412.0,2011,0.4053310767928919
E07000138,,44776.0,6033.0,4792.0,2011,0.44267898383371823
E07000174,,48561.0,5369.0,5297.0,2011,0.49662478904931556
E07000133,,26380.0,3956.0,2574.0,2011,0.39418070444104136
E07000175,,54899.0,7984.0,5449.0,2011,0.40564281992108986
E07000038,,47132.0,6749.0,4548.0,2011,0.40258475701513674
E07000139,,52708.0,7481.0,5222.0,2011,0.41108399590647876
E07000134,,46522.0,6942.0,4254.0,2011,0.379957127545552
E07000154,,107167.0,15740.0,10313.0,2011,0.395846927417188
E06000018,,123743.0,19498.0,12660.0,2011,0.39368119907954474
E07000135,,26550.0,4567.0,2361.0,2011,0.34079099307159355
E07000176,,55665.0,14648.0,3845.0,2011,0.20791650894933217
E06000017,,18195.0,3233.0,1470.0,2011,0.3125664469487561
E07000039,,48103.0,7751.0,4237.0,2011,0.35343677010343677
E07000140,,41801.0,4059.0,3812.0,2011,0.4843094905348749
E07000141,,66971.0,10159.0,6372.0,2011,0.385457625068054
E07000155,,46045.0,8076.0,3612.0,2011,0.30903490759753593
E07000156,,36504.0,4606.0,3322.0,2011,0.41902119071644806
E07000142,,42323.0,6641.0,4444.0,2011,0.4009021199819576
E07000200,,42632.0,6500.0,3964.0,2011,0.37882262996941896
E07000066,,83490.0,11436.0,7429.0,2011,0.3937980386959979
E06000055,,76270.0,13755.0,7089.0,2011,0.340097869890616
E07000067,,74572.0,10068.0,7372.0,2011,0.4227064220183486
E07000143,,61794.0,6703.0,6507.0,2011,0.49258137774413324
E07000068,,36621.0,7510.0,2943.0,2011,0.28154596766478523
E07000144,,62011.0,8859.0,6215.0,2011,0.41229932333819824
E07000095,,46481.0,5633.0,4046.0,2011,0.4180183903295795
