"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
1901,"AU","AU1901003","AUS","Australia","employer sanctions for pacific islanders",0,3,1,5,3,5,"Pacific Islanders",1,"Australia","AUS",1901,"AU1901003"
1901,"AU","AU1901004","AUS","Australia","labour prohibited to non white on ships",0,1,2,8,4,2,"Non-white people",1,"Australia","AUS",1901,"AU1901004"
1901,"AU","AU1901005","AUS","Australia","cornerstone of White Australia policy, excluding all non white from immigration",0,3,2,13,2,2,"Non-white people",1,"Australia","AUS",1901,"AU1901005"
1901,"AU","AU1901006","AUS","Australia","entry prohibited to specific categories",0,3,2,13,14,2,"Non applicable",1,"Australia","AUS",1901,"AU1901006"
1901,"AU","AU1901007","AUS","Australia","dictation test created for immigration",0,4,2,9,2,2,"Non applicable",1,"Australia","AUS",1901,"AU1901007"
1901,"AU","AU1901008","AUS","Australia","carrier sanctions for irregular migrants",0,3,1,4,11,2,"Non applicable",1,"Australia","AUS",1901,"AU1901008"
1901,"AU","AU1901009","AUS","Australia","detention and deportation of irregular migrants",0,4,4,24,11,2,"Non applicable",1,"Australia","AUS",1901,"AU1901009"
1901,"AU","AU1901010","AUS","Australia","preferential treatment for family members",0,2,2,9,6,2,"Non applicable",-1,"Australia","AUS",1901,"AU1901010"
1901,"NZ","NZ1901001","NZL","New Zealand","free entry of residents of Cook Island and Niue",0,3,2,16,1,5,"Cook Islands, Niue",-1,"New Zealand","NZL",1901,"NZ1901001"
1901,"IT","IT1901001","ITA","Italy","Creation of the Commissariat of Emigration",0,4,4,26,2,4,"Non applicable",9,"Italy","ITA",1901,"IT1901001"
1901,"FR","FR1901001","FRA","France","specific regime for associations of foreigners introduced",0,4,3,19,2,2,"Non applicable",-1,"France","FRA",1901,"FR1901001"
1902,"CA","CA1902001","CAN","Canada","Visa fee for chinese increased",0,1,2,9,2,5,"China",1,"Canada","CAN",1902,"CA1902001"
1902,"US","US1902001","USA","United States","Chinese required to register",0,3,1,1,2,5,"China",1,"United States","USA",1902,"US1902001"
1902,"AR","AR1902001","ARG","Argentina","power to expell any foreigner introduced",0,4,4,24,2,2,"Non applicable",1,"Argentina","ARG",1902,"AR1902001"
1902,"AR","AR1902002","ARG","Argentina","entry ban widened to include national security issues",0,1,2,13,14,2,"Non applicable",1,"Argentina","ARG",1902,"AR1902002"
1902,"AR","AR1902003","ARG","Argentina","right to assembly removed for foreigners",0,4,3,19,2,2,"Non applicable",1,"Argentina","ARG",1902,"AR1902003"
1903,"CA","CA1903001","CAN","Canada","Visa fee for chinese increased",0,1,2,9,2,5,"China",1,"Canada","CAN",1903,"CA1903001"
